Bug编号,Source数据库类型,Source数据库版本,Sink数据库类型,Sink数据库版本,CDC工具类型,CDC受影响版本,CDC修复版本,依赖软件,依赖软件版本,,,软件情况,故障表现,首次报告时间,确认修复时间,修复 commit hash,tool_created_at,tool_updated_at,tool_closed_at,tool_merged_at,tool_merge_commit_hash,tool_labels,tool_files_changed,tool_total_comments_count,tool_total_chars,tool_total_words,tool_total_bytes,issue_comments_count,issue_comments_chars,issue_comments_words,issue_comments_bytes,review_comments_count,review_comments_chars,review_comments_words,review_comments_bytes,pr_detail_title_chars,pr_detail_body_chars,pr_detail_comments_count,pr_detail_review_comments_count,review_blocs_count,review_blocs_chars,review_blocs_words,review_blocs_bytes
FLINK-34595,MySQL,,,,Flink CDC,3.2.1,3.3.1,Flink,1.19.3,,,崩溃故障,,2024/3/6 16:31,2024/3/11 02:55,26eb6a99b98d7ad547057e8da4413d9c26b84fc8,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34634,MySQL,5.7.0,,,Flink CDC,2.4.1,3.1.0,Flink,1.17.1,,,逻辑故障（待确认）,,2024/3/9 07:30,2024/4/12 02:15,48ca8623bb8fa405adb56dbe505dbad10902db89,2024-03-13T07:26:39Z,2024-04-12T02:15:46Z,2024-04-12T02:15:46Z,2024-04-12T02:15:46Z,48ca8623bb8fa405adb56dbe505dbad10902db89,mongodb-cdc-connector;mysql-cdc-connector;base;postgres-cdc-connector,flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/assigner/SnapshotSplitAssigner.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/enumerator/IncrementalSourceEnumerator.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/meta/events/StreamSplitMetaEvent.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/meta/events/StreamSplitMetaRequestEvent.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/meta/split/StreamSplit.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/reader/IncrementalSourceReader.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mongodb-cdc/src/test/java/org/apache/flink/cdc/connectors/mongodb/source/NewlyAddedTableITCase.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlSnapshotSplitAssigner.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/enumerator/MySqlSourceEnumerator.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/events/BinlogSplitMetaEvent.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/events/BinlogSplitMetaRequestEvent.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/reader/MySqlSourceReader.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/split/MySqlBinlogSplit.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/source/NewlyAddedTableITCase.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/src/test/java/org/apache/flink/cdc/connectors/postgres/source/NewlyAddedTableITCase.java,14,1825,281,1825,5,1682,253,1682,8,99,20,99,173,3128,5,8,1,44,8,44
FLINK-34690,MySQL,,StarRocks,,Flink CDC,,3.1.0,,,,,潜在故障（类型不对齐）,,2024/3/15 04:08,2024/4/11 02:57,abb98ee257527079a013462de0893bb9e2276693,2024-03-15T07:16:10Z,2024-04-11T02:57:49Z,2024-04-11T02:57:49Z,2024-04-11T02:57:49Z,abb98ee257527079a013462de0893bb9e2276693,starrocks-pipeline-connector,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/main/java/org/apache/flink/cdc/connectors/starrocks/sink/StarRocksUtils.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/test/java/org/apache/flink/cdc/connectors/starrocks/sink/CdcDataTypeTransformerTest.java,26,2155,304,2197,4,369,58,369,18,1661,231,1693,70,625,4,18,4,125,15,135
FLINK-34715,MySQL,,,,Flink CDC,,3.1.0,,,,,潜在故障（单元测试修复）,,2024/3/18 08:03,2024/3/18 10:11,14b81dc6ec804bd516005a177aea00be75df3cc2,2024-03-18T08:07:02Z,2024-03-18T10:11:52Z,2024-03-18T10:11:52Z,2024-03-18T10:11:52Z,14b81dc6ec804bd516005a177aea00be75df3cc2,mysql-cdc-connector,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/debezium/reader/BinlogSplitReaderTest.java,1,16,3,16,0,0,0,0,0,0,0,0,80,519,0,0,1,16,3,16
FLINK-34754,TiDB,5.0/5.1,,,Flink CDC,2.2.0/2.3.0,,Flink,1.14.4,,,逻辑故障（待确认）,数据未更新,2022/11/17 11:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34755,TiDB,6.1.0,,,Flink CDC,2.3.0,,Flink,1.14.5,,,崩溃故障,,2022/11/18 16:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34756,MySQL,5.7.0,,,Flink CDC,2.3.0,,Flink,1.16.0,,,崩溃故障,,2022/11/23 17:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34758,MySQL,5.7.0,,,Flink CDC,2.2.1,,Flink,1.14.3,,,崩溃故障,,2022/12/5 16:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34759,MySQL,8.0.25,,,Flink CDC,2.3.0,,Flink,1.13.5,,,崩溃故障,NullPointerException,2022/12/5 18:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34760,MySQL,,,,Flink CDC,2.3.0,,,,,,潜在故障,,2022/12/8 16:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
