Bug编号,Source数据库类型,Source数据库版本,Sink数据库类型,Sink数据库版本,首次报告时间,确认修复时间,修复 commit hash,修复周期,tool_created_at,tool_updated_at,tool_closed_at,tool_merged_at,tool_merge_commit_hash,tool_labels,tool_files_changed,tool_total_comments_count,tool_total_chars,tool_total_words,tool_total_bytes,issue_comments_count,issue_comments_chars,issue_comments_words,issue_comments_bytes,review_comments_count,review_comments_chars,review_comments_words,review_comments_bytes,pr_detail_title_chars,pr_detail_body_chars,pr_detail_comments_count,pr_detail_review_comments_count,review_blocs_count,review_blocs_chars,review_blocs_words,review_blocs_bytes
FLINK-34595,MySQL,,,,2024/3/6 16:31,2024/3/11 02:55,26eb6a99b98d7ad547057e8da4413d9c26b84fc8,4d 10:24:56,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34634,MongoDB;MySQL;PostgreSQL,5.7.0,,,2024/3/9 07:30,2024/4/12 02:15,48ca8623bb8fa405adb56dbe505dbad10902db89,33d 18:45:46,2024-03-13T07:26:39Z,2024-04-12T02:15:46Z,2024-04-12T02:15:46Z,2024-04-12T02:15:46Z,48ca8623bb8fa405adb56dbe505dbad10902db89,mongodb-cdc-connector;mysql-cdc-connector;base;postgres-cdc-connector,flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/assigner/SnapshotSplitAssigner.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/enumerator/IncrementalSourceEnumerator.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/meta/events/StreamSplitMetaEvent.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/meta/events/StreamSplitMetaRequestEvent.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/meta/split/StreamSplit.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/reader/IncrementalSourceReader.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mongodb-cdc/src/test/java/org/apache/flink/cdc/connectors/mongodb/source/NewlyAddedTableITCase.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlSnapshotSplitAssigner.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/enumerator/MySqlSourceEnumerator.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/events/BinlogSplitMetaEvent.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/events/BinlogSplitMetaRequestEvent.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/reader/MySqlSourceReader.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/split/MySqlBinlogSplit.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/source/NewlyAddedTableITCase.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/src/test/java/org/apache/flink/cdc/connectors/postgres/source/NewlyAddedTableITCase.java,14,1825,281,1825,5,1682,253,1682,8,99,20,99,173,3128,5,8,1,44,8,44
FLINK-34690,MySQL,,StarRocks,,2024/3/15 04:08,2024/4/11 02:57,abb98ee257527079a013462de0893bb9e2276693,26d 22:49:49,2024-03-15T07:16:10Z,2024-04-11T02:57:49Z,2024-04-11T02:57:49Z,2024-04-11T02:57:49Z,abb98ee257527079a013462de0893bb9e2276693,starrocks-pipeline-connector,flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/main/java/org/apache/flink/cdc/connectors/starrocks/sink/StarRocksUtils.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-starrocks/src/test/java/org/apache/flink/cdc/connectors/starrocks/sink/CdcDataTypeTransformerTest.java,26,2155,304,2197,4,369,58,369,18,1661,231,1693,70,625,4,18,4,125,15,135
FLINK-34715,MySQL,,,,2024/3/18 08:03,2024/3/18 10:11,14b81dc6ec804bd516005a177aea00be75df3cc2,0d 02:08:52,2024-03-18T08:07:02Z,2024-03-18T10:11:52Z,2024-03-18T10:11:52Z,2024-03-18T10:11:52Z,14b81dc6ec804bd516005a177aea00be75df3cc2,mysql-cdc-connector,flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/test/java/org/apache/flink/cdc/connectors/mysql/debezium/reader/BinlogSplitReaderTest.java,1,16,3,16,0,0,0,0,0,0,0,0,80,519,0,0,1,16,3,16
FLINK-34801,SQL Server,2014,,,2023/8/1 13:43,2023/10/16 05:15,6f9a06448604c016bcf007b10776d6378279f530,75d 15:31:51,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34849,MySQL,,StarRocks,3.1.6,2023/12/21 16:49,2024/4/24 07:57,c1e1aa48d93933c11ce9629d6f98041338f4d7a0,124d 15:07:57,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34856,MySQL,,,,2024/1/3 11:24,2024/4/24 07:57,c1e1aa48d93933c11ce9629d6f98041338f4d7a0,111d 20:32:21,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34860,MySQL,5.7.0,,,2024/1/10 10:28,2024/6/5 11:30,53c2fb977263853c03b345e087cb927e83049021,147d 01:01:46,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLINK-34883,DB2;Oracle;PostgreSQL;SQL Server,,,,2024/3/6 16:55,2024/7/16 15:22,94a0415475e7040cc6a61e9bd8aca9c3ccea80ad,131d 22:27:07,2024-04-29T09:06:20Z,2024-07-16T15:22:10Z,2024-07-16T15:22:10Z,2024-07-16T15:22:10Z,94a0415475e7040cc6a61e9bd8aca9c3ccea80ad,base;oracle-cdc-connector;postgres-cdc-connector;sqlserver-cdc-connector;e2e-tests;db2-cdc-connector,flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/main/java/org/apache/flink/cdc/connectors/base/source/assigner/splitter/JdbcSourceChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-cdc-base/src/test/java/org/apache/flink/cdc/connectors/base/experimental/MySqlChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-db2-cdc/src/main/java/org/apache/flink/cdc/connectors/db2/source/dialect/Db2ChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-oracle-cdc/src/main/java/org/apache/flink/cdc/connectors/oracle/source/assigner/splitter/OracleChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/pom.xml;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/src/main/java/org/apache/flink/cdc/connectors/postgres/source/PostgresChunkSplitter.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/src/main/java/org/apache/flink/cdc/connectors/postgres/source/fetch/PostgresScanFetchTask.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/src/main/java/org/apache/flink/cdc/connectors/postgres/source/utils/PostgresQueryUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-postgres-cdc/src/main/java/org/apache/flink/cdc/connectors/postgres/source/utils/PostgresTypeUtils.java;flink-cdc-connect/flink-cdc-source-connectors/flink-connector-sqlserver-cdc/src/main/java/org/apache/flink/cdc/connectors/sqlserver/source/dialect/SqlServerChunkSplitter.java;flink-cdc-e2e-tests/flink-cdc-source-e2e-tests/pom.xml,14,1019,144,1019,5,304,53,304,8,631,79,631,44,817,5,8,1,84,12,84
FLINK-34905,MySQL;Runtime,5.7.0/8.0.0,,,2024/3/21 08:56,2024/4/11 05:42,18dd51fe22c26347bc9988d2fb8b6a78c2e922b5,20d 20:46:31,2024-03-14T07:37:07Z,2024-04-11T05:42:31Z,2024-04-11T05:42:31Z,2024-04-11T05:42:31Z,18dd51fe22c26347bc9988d2fb8b6a78c2e922b5,common;runtime;mysql-pipeline-connector,flink-cdc-common/src/main/java/org/apache/flink/cdc/common/types/BinaryType.java;flink-cdc-common/src/main/java/org/apache/flink/cdc/common/types/CharType.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/main/java/org/apache/flink/cdc/connectors/mysql/utils/MySqlTypeUtils.java;flink-cdc-connect/flink-cdc-pipeline-connectors/flink-cdc-pipeline-connector-mysql/src/test/java/org/apache/flink/cdc/connectors/mysql/source/MySqlPipelineITCase.java;flink-cdc-runtime/src/main/java/org/apache/flink/cdc/runtime/serializer/schema/DataTypeSerializer.java,5,934,119,934,0,0,0,0,2,836,103,836,101,4343,0,2,3,98,16,98
