Bug编号,repair_hours,comment_count,comment_chars,files_changed_count,loc_changed,Zr,Zc,Zw,Zf,Zl,D_raw,D_100,难度等级
FLINK-34715,2.147777777777778,1.0,16.0,1.0,4.0,-0.6673690172610776,-0.8071207412433314,-0.45718295964575867,-0.3709413602330515,-0.23984609143243402,-0.5220902307664681,0.0,极低
FLINK-38065,14.71888888888889,1.0,33.0,1.0,7.0,-0.6558788866898577,-0.8071207412433314,-0.45068573798746603,-0.3709413602330515,-0.23780824875637335,-0.5165387799707418,0.3868032187141479,极低
FLINK-37713,42.1725,1.0,70.0,1.0,4.0,-0.6307859912783017,-0.8071207412433314,-0.43654472614294676,-0.3709413602330515,-0.23984609143243402,-0.5053931970230765,1.1633835248786837,极低
FLINK-38620,51.59777777777778,1.0,5.0,1.0,4.0,-0.6221711861604817,-0.8071207412433314,-0.4613870442481833,-0.3709413602330515,-0.23984609143243402,-0.5044315067864721,1.2303903115029888,极低
FLINK-36111,6.4319444444444445,2.0,82.0,1.0,5.0,-0.6634532429151362,-0.6690472559488748,-0.4319584520312108,-0.3709413602330515,-0.2391668105404138,-0.504092229603388,1.2540298088672166,极低
FLINK-35258,2.1491666666666664,1.0,37.0,2.0,12.0,-0.6673677478017163,-0.8071207412433314,-0.4491569799502207,-0.30313487502916037,-0.23441184429627224,-0.5035203666417727,1.2938749668908591,极低
FLINK-36088,14.689722222222223,2.0,92.0,1.0,2.0,-0.6559055453364455,-0.6690472559488748,-0.4281365569380975,-0.3709413602330515,-0.24120465321647447,-0.5009966374640095,1.4697184724972012,极低
FLINK-35251,9.396666666666667,1.0,36.0,2.0,30.0,-0.660743454962453,-0.8071207412433314,-0.44953916945953204,-0.30313487502916037,-0.22218478823990825,-0.4990748100485438,1.6036238348013179,极低
FLINK-38540,19.950833333333332,1.0,5.0,2.0,12.0,-0.6510968332757485,-0.8071207412433314,-0.4613870442481833,-0.30313487502916037,-0.23441184429627224,-0.4982350072611818,1.6621379841993116,极低
FLINK-36699,4.1113888888888885,1.0,5.0,2.0,101.0,-0.6655742556160371,-0.8071207412433314,-0.4613870442481833,-0.30313487502916037,-0.17395584490647253,-0.4949575762888273,1.8904964612655413,极低
FLINK-37409,52.53333333333333,2.0,18.0,1.0,6.0,-0.6213160783346936,-0.6690472559488748,-0.456418580627136,-0.3709413602330515,-0.23848752964839356,-0.48958148449700045,2.265081355502956,极低
FLINK-38440,48.27972222222222,1.0,17.0,2.0,10.0,-0.6252039245746859,-0.8071207412433314,-0.4568007701364473,-0.30313487502916037,-0.2357704060803127,-0.4876230006371892,2.4015407944225773,极低
FLINK-37839,52.09,2.0,131.0,1.0,6.0,-0.6217212897628283,-0.6690472559488748,-0.4132311660749556,-0.3709413602330515,-0.23848752964839356,-0.48542482761303624,2.5547008299375364,极低
FLINK-36895,118.37444444444444,1.0,4.0,1.0,2.0,-0.5611365956354909,-0.8071207412433314,-0.4617692337574946,-0.3709413602330515,-0.24120465321647447,-0.4802596737950131,2.914588397256529,极低
FLINK-35255,21.638333333333332,3.0,174.0,1.0,23.0,-0.6495544401517392,-0.5309737706544181,-0.3967970171745684,-0.3709413602330515,-0.22693975448404982,-0.47937515807446474,2.976217967669864,极低
FLINK-38452,20.755,1.0,5.0,3.0,102.0,-0.6503618163055416,-0.8071207412433314,-0.4613870442481833,-0.23532838982526924,-0.17327656401445232,-0.4718190871298532,3.5026952201492,极低
FLINK-36772,3.456666666666667,3.0,223.0,2.0,8.0,-0.6661726787589655,-0.5309737706544181,-0.37806973121831317,-0.30313487502916037,-0.23712896786435314,-0.46872648562780234,3.7181755079533154,极低
FLINK-36082,33.566944444444445,2.0,92.0,2.0,92.0,-0.638651561481068,-0.6690472559488748,-0.4281365569380975,-0.30313487502916037,-0.18006937293465453,-0.46797313057861273,3.7706663195597923,极低
